"Aaden"	["Red Sox", 53, 23]
"Madelynn"	["Cardinals", 26, 55]
"Madilyn"	["Cardinals", 29, 61]
"Madilynn"	["Red Sox", 55, 40]
"Madison"	["Cardinals", 32, 49]
"Madisyn"	["Red Sox", 46, 36]
"Madyson"	["Red Sox", 50, 23]
"Mae"	["Cardinals", 27, 50]
"Maeve"	["Red Sox", 49, 40]
"Maggie"	["Cardinals", 28, 60]
"Maia"	["Red Sox", 42, 18]
"Maison"	["Red Sox", 45, 34]
"Major"	["Cardinals", 35, 47]
"Makai"	["Red Sox", 40, 26]
"Makayla"	["Cardinals", 34, 50]
"Makenna"	["Red Sox", 38, 32]
"Makenzie"	["Cardinals", 31, 43]
"Makhi"	["Red Sox", 43, 21]
"Malachi"	["Red Sox", 41, 30]
"Malakai"	["Red Sox", 45, 28]
"Malaki"	["Red Sox", 57, 26]
"Malaya"	["Cardinals", 25, 43]
"Malaysia"	["Red Sox", 43, 19]
"Malcolm"	["Red Sox", 43, 29]
"Maleah"	["Cardinals", 31, 46]
"Malia"	["Cardinals", 25, 40]
"Maliah"	["Cardinals", 28, 43]
"Malik"	["Cardinals", 29, 36]
"Maliyah"	["Cardinals", 28, 47]
"Mallory"	["Cardinals", 25, 53]
"Manuel"	["Red Sox", 43, 25]
"Mara"	["Red Sox", 53, 27]
"Marc"	["Red Sox", 42, 24]
"Marcel"	["Red Sox", 41, 26]
"Marcelo"	["Cardinals", 19, 45]
"Marco"	["Red Sox", 64, 32]
"Marcos"	["Red Sox", 43, 27]
"Marcus"	["Cardinals", 33, 47]
"Margaret"	["Red Sox", 45, 32]
"Maria"	["Red Sox", 46, 37]
"Mariah"	["Cardinals", 39, 55]
"Mariam"	["Cardinals", 27, 52]
"Mariana"	["Red Sox", 47, 29]
"Marianna"	["Cardinals", 23, 55]
"Marie"	["Cardinals", 23, 51]
"Marilyn"	["Cardinals", 18, 53]
"Marina"	["Red Sox", 54, 29]
"Mario"	["Cardinals", 35, 50]
"Marisa"	["Red Sox", 59, 34]
"Marisol"	["Cardinals", 39, 55]
"Marissa"	["Cardinals", 27, 53]
"Maritza"	["Cardinals", 21, 55]
"Mariyah"	["Cardinals", 24, 46]
"Mark"	["Red Sox", 46, 25]
"Markus"	["Cardinals", 26, 52]
"Marlee"	["Cardinals", 30, 39]
"Marlene"	["Red Sox", 45, 31]
"Marley"	["Cardinals", 22, 42]
"Marlon"	["Cardinals", 34, 49]
"Marquis"	["Cardinals", 36, 41]
"Marshall"	["Cardinals", 31, 47]
"Martha"	["Cardinals", 25, 49]
"Martin"	["Red Sox", 49, 23]
"Marvin"	["Red Sox", 44, 25]
"Mary"	["Red Sox", 52, 27]
"Maryam"	["Red Sox", 42, 32]
"Masen"	["Cardinals", 28, 54]
"Mason"	["Cardinals", 32, 59]
"Mateo"	["Red Sox", 58, 28]
"Mathew"	["Cardinals", 27, 60]
"Mathias"	["Red Sox", 55, 51]
"Matias"	["Red Sox", 44, 37]
"Matilda"	["Cardinals", 22, 55]
"Matteo"	["Red Sox", 48, 36]
"Matthew"	["Red Sox", 51, 39]
"Matthias"	["Red Sox", 55, 37]
"Mattie"	["Cardinals", 26, 53]
"Maurice"	["Red Sox", 45, 25]
"Mauricio"	["Cardinals", 37, 48]
"Maverick"	["Cardinals", 24, 32]
"Max"	["Red Sox", 48, 35]
"Maxim"	["Red Sox", 51, 39]
"Maximilian"	["Cardinals", 28, 44]
"Maximiliano"	["Cardinals", 33, 55]
"Maximo"	["Cardinals", 29, 46]
"Maximus"	["Cardinals", 21, 49]
"Maxton"	["Red Sox", 51, 30]
"Maxwell"	["Cardinals", 40, 42]
"Maya"	["Red Sox", 57, 33]
"Mayson"	["Red Sox", 39, 31]
"Mckayla"	["Red Sox", 45, 23]
"Mckenna"	["Cardinals", 27, 39]
"Mckenzie"	["Red Sox", 54, 26]
"Mckinley"	["Red Sox", 39, 22]
"Meadow"	["Red Sox", 33, 26]
"Megan"	["Red Sox", 55, 38]
"Meghan"	["Red Sox", 55, 26]
"Mekhi"	["Red Sox", 43, 34]
"Melanie"	["Cardinals", 30, 42]
"Melany"	["Cardinals", 29, 41]
"Melina"	["Cardinals", 27, 49]
"Melissa"	["Red Sox", 37, 28]
"Melody"	["Cardinals", 32, 61]
"Melvin"	["Cardinals", 32, 51]
"Memphis"	["Red Sox", 40, 28]
"Mercedes"	["Cardinals", 33, 43]
"Meredith"	["Cardinals", 23, 64]
"Messiah"	["Cardinals", 22, 53]
"Mia"	["Cardinals", 28, 48]
"Miah"	["Cardinals", 27, 53]
"Micah"	["Red Sox", 45, 32]
"Michael"	["Cardinals", 33, 51]
"Michaela"	["Red Sox", 46, 21]
"Micheal"	["Cardinals", 30, 41]
"Michelle"	["Red Sox", 45, 29]
"Miguel"	["Cardinals", 23, 39]
"Mikaela"	["Red Sox", 61, 24]
"Mikayla"	["Cardinals", 20, 53]
"Mike"	["Cardinals", 25, 45]
"Mila"	["Red Sox", 47, 33]
"Milan"	["Red Sox", 47, 32]
"Milana"	["Red Sox", 37, 35]
"Milania"	["Cardinals", 29, 33]
"Milena"	["Red Sox", 42, 31]
"Miles"	["Red Sox", 48, 39]
"Miley"	["Red Sox", 52, 29]
"Millie"	["Cardinals", 22, 44]
"Milo"	["Red Sox", 45, 26]
"Mina"	["Red Sox", 50, 26]
"Mira"	["Red Sox", 36, 34]
"Miracle"	["Cardinals", 26, 44]
"Miranda"	["Red Sox", 47, 38]
"Miriam"	["Red Sox", 42, 24]
"Misael"	["Cardinals", 21, 46]
"Mitchell"	["Red Sox", 58, 23]
"Miya"	["Red Sox", 53, 25]
"Mohamed"	["Cardinals", 24, 34]
"Mohammad"	["Red Sox", 44, 22]
"Mohammed"	["Red Sox", 45, 27]
"Moises"	["Red Sox", 36, 37]
"Mollie"	["Cardinals", 38, 47]
"Molly"	["Red Sox", 48, 32]
"Monica"	["Red Sox", 35, 30]
"Monroe"	["Red Sox", 48, 41]
"Morgan"	["Red Sox", 47, 35]
"Moriah"	["Red Sox", 52, 20]
"Moses"	["Cardinals", 38, 49]
"Moshe"	["Red Sox", 49, 25]
"Muhammad"	["Cardinals", 32, 62]
"Mustafa"	["Red Sox", 56, 23]
"Mya"	["Cardinals", 37, 50]
"Myah"	["Red Sox", 53, 22]
"Myla"	["Red Sox", 42, 32]
"Myles"	["Red Sox", 49, 28]
"Myra"	["Cardinals", 30, 46]
"Nadia"	["Cardinals", 22, 58]
"Nahla"	["Cardinals", 25, 48]
"Nancy"	["Cardinals", 28, 49]
"Naomi"	["Red Sox", 46, 28]
"Nash"	["Red Sox", 51, 28]
"Nasir"	["Red Sox", 48, 29]
"Natalee"	["Cardinals", 26, 56]
"Natalia"	["Cardinals", 34, 42]
"Natalie"	["Cardinals", 23, 49]
"Nataly"	["Cardinals", 26, 43]
"Natalya"	["Cardinals", 40, 49]
"Natasha"	["Cardinals", 26, 45]
"Nathalie"	["Red Sox", 42, 25]
"Nathaly"	["Cardinals", 26, 35]
"Nathan"	["Red Sox", 60, 25]
"Nathanael"	["Cardinals", 22, 48]
"Nathaniel"	["Cardinals", 26, 65]
"Nayeli"	["Cardinals", 32, 53]
"Nehemiah"	["Cardinals", 32, 39]
"Neil"	["Cardinals", 30, 44]
"Nelson"	["Cardinals", 28, 42]
"Nevaeh"	["Cardinals", 31, 55]
"Neymar"	["Red Sox", 58, 29]
"Nia"	["Red Sox", 67, 34]
"Nicholas"	["Red Sox", 58, 23]
"Nickolas"	["Red Sox", 47, 33]
"Nico"	["Cardinals", 33, 42]
"Nicolas"	["Red Sox", 53, 23]
"Nicole"	["Cardinals", 33, 57]
"Niko"	["Cardinals", 15, 48]
"Nikolai"	["Red Sox", 44, 31]
"Nikolas"	["Cardinals", 32, 51]
"Nina"	["Red Sox", 44, 23]
"Nixon"	["Cardinals", 36, 51]
"Noah"	["Red Sox", 45, 34]
"Noe"	["Red Sox", 48, 28]
"Noel"	["Cardinals", 26, 47]
"Noelle"	["Cardinals", 19, 45]
"Noemi"	["Cardinals", 25, 50]
"Nola"	["Red Sox", 56, 32]
"Nolan"	["Red Sox", 58, 31]
"Nora"	["Red Sox", 47, 30]
"Norah"	["Cardinals", 29, 50]
"Nova"	["Cardinals", 27, 46]
"Nyla"	["Cardinals", 33, 54]
"Nylah"	["Red Sox", 56, 25]
"Oakley"	["Cardinals", 33, 49]
"Odin"	["Cardinals", 34, 48]
"Olive"	["Red Sox", 49, 38]
"Oliver"	["Cardinals", 26, 58]
"Olivia"	["Cardinals", 37, 51]
"Omar"	["Cardinals", 31, 63]
"Omari"	["Cardinals", 27, 47]
"Orion"	["Cardinals", 24, 50]
"Orlando"	["Cardinals", 22, 50]
"Oscar"	["Red Sox", 46, 29]
"Osvaldo"	["Cardinals", 29, 55]
"Otto"	["Red Sox", 40, 33]
"Owen"	["Cardinals", 25, 45]
"Pablo"	["Red Sox", 52, 27]
"Paige"	["Red Sox", 53, 29]
"Paislee"	["Cardinals", 22, 47]
"Paisley"	["Cardinals", 28, 48]
"Paityn"	["Cardinals", 37, 42]
"Paloma"	["Red Sox", 34, 31]
"Paola"	["Cardinals", 28, 51]
"Paris"	["Cardinals", 30, 37]
"Parker"	["Cardinals", 27, 43]
"Patience"	["Red Sox", 52, 27]
"Patricia"	["Cardinals", 32, 45]
"Patrick"	["Red Sox", 48, 27]
"Paul"	["Cardinals", 22, 44]
"Paula"	["Cardinals", 30, 51]
"Paulina"	["Cardinals", 29, 47]
"Paxton"	["Cardinals", 31, 62]
"Payton"	["Red Sox", 48, 33]
"Pearl"	["Red Sox", 46, 35]
"Pedro"	["Cardinals", 27, 49]
"Penelope"	["Cardinals", 30, 54]
"Perla"	["Cardinals", 22, 49]
"Peter"	["Red Sox", 44, 30]
"Peyton"	["Cardinals", 29, 57]
"Philip"	["Cardinals", 19, 52]
"Phillip"	["Cardinals", 31, 51]
"Phoebe"	["Cardinals", 29, 51]
"Phoenix"	["Cardinals", 27, 52]
"Pierce"	["Cardinals", 27, 41]
"Piper"	["Cardinals", 25, 38]
"Porter"	["Red Sox", 56, 35]
"Presley"	["Cardinals", 27, 64]
"Preston"	["Red Sox", 44, 39]
"Prince"	["Cardinals", 41, 37]
"Princeton"	["Red Sox", 49, 33]
"Priscilla"	["Red Sox", 50, 35]
"Quentin"	["Red Sox", 51, 34]
"Quincy"	["Red Sox", 41, 31]
"Quinn"	["Cardinals", 31, 59]
"Quintin"	["Cardinals", 26, 48]
"Quinton"	["Cardinals", 17, 49]
"Rachael"	["Cardinals", 24, 42]
"Rachel"	["Cardinals", 26, 45]
"Raegan"	["Cardinals", 35, 37]
"Raelyn"	["Red Sox", 44, 26]
"Raelynn"	["Cardinals", 20, 51]
"Rafael"	["Cardinals", 31, 39]
"Raiden"	["Red Sox", 45, 31]
"Raina"	["Red Sox", 55, 31]
"Ramiro"	["Red Sox", 50, 35]
"Ramon"	["Cardinals", 22, 54]
"Randall"	["Cardinals", 23, 57]
"Randy"	["Cardinals", 14, 43]
"Raphael"	["Red Sox", 54, 21]
"Raquel"	["Red Sox", 51, 26]
"Rashad"	["Cardinals", 20, 59]
"Raul"	["Cardinals", 23, 57]
"Raven"	["Red Sox", 52, 35]
"Ray"	["Red Sox", 41, 44]
"Rayan"	["Red Sox", 50, 29]
"Rayden"	["Cardinals", 31, 47]
"Raylan"	["Cardinals", 29, 45]
"Raylee"	["Cardinals", 35, 58]
"Raymond"	["Red Sox", 37, 27]
"Rayna"	["Cardinals", 23, 51]
"Rayne"	["Cardinals", 21, 43]
"Reagan"	["Red Sox", 58, 32]
"Rebecca"	["Red Sox", 48, 22]
"Rebekah"	["Red Sox", 40, 22]
"Reece"	["Cardinals", 31, 67]
"Reed"	["Red Sox", 46, 27]
"Reese"	["Red Sox", 43, 28]
"Regan"	["Red Sox", 56, 31]
"Regina"	["Cardinals", 38, 40]
"Reginald"	["Red Sox", 47, 20]
"Reid"	["Cardinals", 28, 45]
"Remington"	["Cardinals", 37, 46]
"Remy"	["Red Sox", 50, 29]
"Renata"	["Cardinals", 31, 57]
"Rene"	["Red Sox", 42, 34]
"Renee"	["Red Sox", 55, 26]
"Reuben"	["Cardinals", 25, 41]
"Rex"	["Red Sox", 40, 24]
"Rey"	["Red Sox", 38, 27]
"Reyna"	["Red Sox", 47, 31]
"Rhett"	["Cardinals", 28, 38]
"Rhys"	["Cardinals", 38, 50]
"Ricardo"	["Cardinals", 26, 44]
"Richard"	["Red Sox", 42, 27]
"Ricky"	["Red Sox", 54, 32]
"Rihanna"	["Cardinals", 28, 51]
"Riley"	["Red Sox", 52, 20]
"River"	["Cardinals", 15, 47]
"Riya"	["Cardinals", 31, 40]
"Robert"	["Cardinals", 27, 45]
"Roberto"	["Cardinals", 27, 53]
"Rocco"	["Cardinals", 32, 40]
"Roderick"	["Red Sox", 50, 27]
"Rodney"	["Cardinals", 24, 42]
"Rodolfo"	["Cardinals", 38, 47]
"Rodrigo"	["Cardinals", 29, 47]
"Rogelio"	["Red Sox", 44, 37]
"Roger"	["Red Sox", 53, 35]
"Rohan"	["Cardinals", 25, 57]
"Roland"	["Cardinals", 33, 49]
"Rolando"	["Red Sox", 52, 23]
"Roman"	["Cardinals", 38, 56]
"Romeo"	["Cardinals", 32, 46]
"Ronald"	["Red Sox", 49, 31]
"Ronan"	["Red Sox", 58, 28]
"Ronin"	["Cardinals", 36, 53]
"Ronnie"	["Red Sox", 55, 25]
"Rory"	["Red Sox", 42, 25]
"Rosa"	["Cardinals", 37, 43]
"Rosalie"	["Cardinals", 27, 36]
"Rose"	["Red Sox", 49, 22]
"Roselyn"	["Cardinals", 26, 49]
"Rosemary"	["Cardinals", 27, 42]
"Ross"	["Cardinals", 25, 39]
"Rowan"	["Red Sox", 51, 18]
"Rowen"	["Cardinals", 34, 57]
"Roy"	["Cardinals", 23, 38]
"Royce"	["Cardinals", 30, 65]
"Ruben"	["Cardinals", 29, 48]
"Ruby"	["Red Sox", 60, 23]
"Rudy"	["Red Sox", 55, 28]
"Russell"	["Red Sox", 39, 26]
"Ruth"	["Cardinals", 39, 59]
"Ryan"	["Cardinals", 24, 57]
"Ryann"	["Red Sox", 42, 27]
"Ryder"	["Red Sox", 51, 19]
"Ryker"	["Cardinals", 33, 42]
"Rylan"	["Cardinals", 21, 46]
"Ryland"	["Cardinals", 40, 54]
"Rylee"	["Cardinals", 25, 55]
"Ryleigh"	["Red Sox", 42, 31]
"Rylen"	["Red Sox", 52, 25]
"Rylie"	["Cardinals", 23, 50]
"Saanvi"	["Cardinals", 26, 41]
"Sabrina"	["Red Sox", 51, 26]
"Sadie"	["Red Sox", 36, 33]
"Sage"	["Red Sox", 50, 32]
"Saige"	["Red Sox", 42, 31]
"Salma"	["Cardinals", 34, 48]
"Salvador"	["Cardinals", 25, 44]
"Salvatore"	["Cardinals", 33, 48]
"Sam"	["Cardinals", 23, 57]
"Samantha"	["Cardinals", 25, 40]
"Samara"	["Cardinals", 20, 56]
"Samir"	["Cardinals", 21, 50]
"Samiyah"	["Cardinals", 29, 48]
"Samson"	["Cardinals", 24, 47]
"Samuel"	["Cardinals", 31, 61]
"Sandra"	["Cardinals", 34, 53]
"Saniya"	["Red Sox", 52, 32]
"Saniyah"	["Cardinals", 25, 53]
"Santiago"	["Cardinals", 31, 53]
"Santino"	["Cardinals", 26, 44]
"Santos"	["Cardinals", 33, 46]
"Sara"	["Cardinals", 32, 49]
"Sarah"	["Cardinals", 35, 44]
"Sarahi"	["Red Sox", 45, 39]
"Sarai"	["Red Sox", 61, 26]
"Sariah"	["Red Sox", 48, 27]
"Sariyah"	["Red Sox", 62, 29]
"Sasha"	["Cardinals", 33, 56]
"Saul"	["Red Sox", 46, 28]
"Savanna"	["Red Sox", 49, 28]
"Savannah"	["Cardinals", 33, 44]
"Sawyer"	["Cardinals", 29, 54]
"Scarlet"	["Red Sox", 49, 25]
"Scarlett"	["Cardinals", 33, 52]
"Scarlette"	["Cardinals", 30, 58]
"Scott"	["Red Sox", 41, 27]
"Seamus"	["Cardinals", 35, 41]
"Sean"	["Red Sox", 42, 32]
"Sebastian"	["Cardinals", 31, 42]
"Selah"	["Cardinals", 32, 45]
"Selena"	["Cardinals", 34, 54]
"Semaj"	["Red Sox", 46, 35]
"Serena"	["Cardinals", 30, 41]
"Serenity"	["Cardinals", 21, 49]
"Sergio"	["Cardinals", 30, 59]
"Seth"	["Red Sox", 51, 36]
"Shane"	["Cardinals", 37, 46]
"Shannon"	["Red Sox", 45, 28]
"Sharon"	["Red Sox", 53, 30]
"Shaun"	["Red Sox", 49, 31]
"Shawn"	["Red Sox", 43, 33]
"Shayla"	["Red Sox", 46, 33]
"Shelby"	["Red Sox", 36, 27]
"Sheldon"	["Red Sox", 49, 36]
"Sherlyn"	["Red Sox", 61, 34]
"Shiloh"	["Red Sox", 43, 30]
"Sidney"	["Cardinals", 26, 62]
"Siena"	["Cardinals", 29, 48]
"Sienna"	["Red Sox", 48, 38]
"Sierra"	["Cardinals", 23, 41]
"Silas"	["Red Sox", 39, 18]
"Simeon"	["Cardinals", 26, 57]
"Simon"	["Red Sox", 43, 30]
"Simone"	["Red Sox", 54, 23]
"Sincere"	["Cardinals", 28, 43]
"Sky"	["Red Sox", 39, 37]
"Skye"	["Red Sox", 53, 21]
"Skyla"	["Cardinals", 32, 44]
"Skylar"	["Red Sox", 51, 21]
"Skyler"	["Cardinals", 18, 54]
"Sloan"	["Cardinals", 31, 67]
"Sloane"	["Cardinals", 29, 52]
"Sofia"	["Red Sox", 52, 34]
"Sofie"	["Red Sox", 43, 27]
"Solomon"	["Cardinals", 21, 47]
"Sonia"	["Cardinals", 26, 53]
"Sonny"	["Cardinals", 21, 46]
"Sophia"	["Red Sox", 48, 28]
"Sophie"	["Cardinals", 29, 50]
"Soren"	["Cardinals", 31, 40]
"Spencer"	["Red Sox", 50, 27]
"Stanley"	["Red Sox", 46, 21]
"Stefan"	["Red Sox", 62, 28]
"Stella"	["Cardinals", 22, 46]
"Stephanie"	["Cardinals", 24, 39]
"Stephen"	["Cardinals", 22, 51]
"Sterling"	["Cardinals", 29, 54]
"Steve"	["Red Sox", 59, 34]
"Steven"	["Cardinals", 26, 54]
"Sullivan"	["Red Sox", 51, 26]
"Summer"	["Cardinals", 33, 43]
"Susan"	["Cardinals", 35, 51]
"Sydney"	["Red Sox", 52, 32]
"Sylas"	["Red Sox", 52, 37]
"Sylvia"	["Red Sox", 53, 30]
"Tabitha"	["Red Sox", 57, 26]
"Talia"	["Red Sox", 48, 28]
"Taliyah"	["Cardinals", 26, 51]
"Talon"	["Red Sox", 48, 33]
"Tamia"	["Cardinals", 33, 59]
"Tanner"	["Cardinals", 33, 58]
"Tara"	["Red Sox", 40, 31]
"Taraji"	["Red Sox", 37, 37]
"Taryn"	["Red Sox", 39, 37]
"Tate"	["Cardinals", 34, 52]
"Tatiana"	["Cardinals", 34, 49]
"Tatum"	["Cardinals", 21, 58]
"Taylor"	["Red Sox", 42, 25]
"Teagan"	["Red Sox", 49, 33]
"Temperance"	["Red Sox", 58, 33]
"Tenley"	["Cardinals", 33, 44]
"Teresa"	["Red Sox", 52, 15]
"Terrance"	["Red Sox", 39, 28]
"Terrell"	["Cardinals", 24, 43]
"Terrence"	["Red Sox", 50, 36]
"Terry"	["Cardinals", 33, 46]
"Tess"	["Red Sox", 51, 24]
"Tessa"	["Red Sox", 49, 28]
"Thaddeus"	["Red Sox", 46, 26]
"Thalia"	["Red Sox", 45, 27]
"Theo"	["Cardinals", 29, 53]
"Theodore"	["Cardinals", 24, 53]
"Thiago"	["Red Sox", 49, 32]
"Thomas"	["Red Sox", 51, 38]
"Tia"	["Red Sox", 34, 27]
"Tiana"	["Cardinals", 37, 42]
"Tiffany"	["Cardinals", 27, 38]
"Timothy"	["Red Sox", 40, 28]
"Tinley"	["Cardinals", 27, 42]
"Titan"	["Cardinals", 30, 46]
"Titus"	["Cardinals", 27, 51]
"Tobias"	["Cardinals", 21, 55]
"Toby"	["Cardinals", 31, 60]
"Todd"	["Red Sox", 59, 28]
"Tomas"	["Cardinals", 33, 53]
"Tommy"	["Cardinals", 27, 51]
"Tony"	["Red Sox", 51, 32]
"Tori"	["Cardinals", 30, 45]
"Trace"	["Cardinals", 22, 52]
"Travis"	["Red Sox", 40, 24]
"Trent"	["Cardinals", 26, 50]
"Trenton"	["Red Sox", 48, 34]
"Trevon"	["Red Sox", 51, 37]
"Trevor"	["Cardinals", 27, 50]
"Trey"	["Red Sox", 42, 28]
"Trinity"	["Red Sox", 57, 37]
"Tripp"	["Cardinals", 20, 59]
"Tristan"	["Cardinals", 37, 35]
"Tristen"	["Cardinals", 30, 46]
"Tristian"	["Red Sox", 48, 39]
"Tristin"	["Cardinals", 37, 47]
"Triston"	["Cardinals", 34, 54]
"Troy"	["Red Sox", 42, 34]
"Truman"	["Red Sox", 49, 33]
"Trystan"	["Cardinals", 30, 59]
"Tucker"	["Cardinals", 32, 57]
"Turner"	["Cardinals", 27, 50]
"Ty"	["Red Sox", 62, 26]
"Tyler"	["Cardinals", 20, 39]
"Tyree"	["Cardinals", 27, 43]
"Tyrell"	["Cardinals", 26, 39]
"Tyrone"	["Red Sox", 39, 37]
"Tyson"	["Red Sox", 45, 30]
"Ulises"	["Red Sox", 42, 37]
"Uriah"	["Cardinals", 24, 43]
"Uriel"	["Cardinals", 34, 49]
"Urijah"	["Red Sox", 41, 29]
"Valentin"	["Red Sox", 54, 31]
"Valentina"	["Cardinals", 30, 48]
"Valentino"	["Red Sox", 50, 34]
"Valeria"	["Cardinals", 26, 39]
"Valerie"	["Cardinals", 29, 46]
"Van"	["Red Sox", 55, 31]
"Vance"	["Red Sox", 49, 31]
"Vanessa"	["Cardinals", 25, 51]
"Vaughn"	["Cardinals", 32, 60]
"Vera"	["Cardinals", 29, 46]
"Veronica"	["Red Sox", 39, 32]
"Vicente"	["Red Sox", 54, 26]
"Victor"	["Red Sox", 44, 25]
"Victoria"	["Red Sox", 46, 39]
"Vihaan"	["Cardinals", 27, 45]
"Vincent"	["Cardinals", 30, 45]
"Vincenzo"	["Red Sox", 40, 25]
"Violet"	["Cardinals", 22, 50]
"Virginia"	["Cardinals", 31, 47]
"Vivian"	["Red Sox", 40, 35]
"Viviana"	["Cardinals", 29, 36]
"Vivienne"	["Cardinals", 27, 49]
"Wade"	["Cardinals", 35, 48]
"Walker"	["Cardinals", 30, 53]
"Walter"	["Red Sox", 42, 36]
"Warren"	["Red Sox", 45, 28]
"Waylon"	["Red Sox", 46, 30]
"Wayne"	["Cardinals", 18, 42]
"Wendy"	["Cardinals", 27, 51]
"Wesley"	["Red Sox", 47, 43]
"Westin"	["Red Sox", 48, 27]
"Weston"	["Cardinals", 24, 68]
"Whitney"	["Red Sox", 61, 29]
"Will"	["Red Sox", 27, 29]
"Willa"	["Red Sox", 33, 33]
"William"	["Cardinals", 25, 51]
"Willie"	["Cardinals", 34, 57]
"Willow"	["Cardinals", 33, 50]
"Wilson"	["Red Sox", 47, 33]
"Winston"	["Cardinals", 32, 59]
"Winter"	["Red Sox", 46, 34]
"Wyatt"	["Red Sox", 44, 38]
"Xander"	["Cardinals", 24, 45]
"Xavi"	["Red Sox", 47, 29]
"Xavier"	["Red Sox", 43, 33]
"Ximena"	["Cardinals", 32, 48]
"Xzavier"	["Cardinals", 25, 55]
"Yael"	["Cardinals", 31, 53]
"Yahir"	["Red Sox", 36, 23]
"Yamileth"	["Cardinals", 30, 52]
"Yandel"	["Cardinals", 23, 55]
"Yareli"	["Cardinals", 21, 48]
"Yaretzi"	["Cardinals", 35, 52]
"Yaritza"	["Cardinals", 21, 52]
"Yasmin"	["Cardinals", 30, 41]
"Yehuda"	["Red Sox", 45, 32]
"Yesenia"	["Cardinals", 23, 58]
"Yosef"	["Red Sox", 57, 30]
"Yousef"	["Cardinals", 30, 51]
"Yusuf"	["Red Sox", 47, 33]
"Zachariah"	["Cardinals", 28, 44]
"Zachary"	["Red Sox", 40, 41]
"Zackary"	["Cardinals", 32, 58]
"Zahra"	["Red Sox", 53, 31]
"Zaid"	["Red Sox", 56, 21]
"Zaiden"	["Red Sox", 37, 34]
"Zain"	["Red Sox", 56, 25]
"Zaire"	["Cardinals", 32, 51]
"Zander"	["Cardinals", 27, 51]
"Zane"	["Red Sox", 46, 31]
"Zaniyah"	["Cardinals", 27, 51]
"Zara"	["Red Sox", 47, 29]
"Zaria"	["Cardinals", 31, 56]
"Zariah"	["Red Sox", 48, 22]
"Zariyah"	["Red Sox", 39, 26]
"Zavier"	["Red Sox", 36, 26]
"Zayden"	["Red Sox", 49, 21]
"Zayne"	["Cardinals", 21, 44]
"Zechariah"	["Cardinals", 21, 42]
"Zeke"	["Cardinals", 27, 58]
"Zion"	["Red Sox", 43, 22]
"Zoe"	["Cardinals", 26, 73]
"Zoey"	["Cardinals", 26, 53]
"Zoie"	["Red Sox", 53, 32]
"Zuri"	["Red Sox", 58, 35]
